All,Összes
"Invalid customer id %1","Érvénytelen ügyfél azonosító %1"
"Invalid customer address id %1","Érvénytelen vásárlói cím azonosító %1"
"Invalid address id %1","Érvénytelen cím azonosító %1"
"Only 1 shipping assignment can be set","Csak 1 szállítási hozzárendelés állítható be"
"This item price or quantity is not valid for checkout.","A cikk ára vagy mennyisége érvénytelen a fizetéshez."
Carts,Kosarak
"Manage carts","Kosarak kezelése"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","Ez a szabály hozzá van rendelve a %1 automata emlékeztető szabály(ok)hoz. A szabály törlésével automatikusan megszűnik a hozzárendelés."
"Run Now","Futtatás most"
"Edit Rule '%1'","'%1' szabály szerkesztése"
Coupon,Kupon
"Cart Price Rule","Kosár árszabályok"
"Coupon Code",Kuponkód
"Reminder Email Sender","Emlékeztető email küldő"
"Show Reviews","Vélemények megjelenítése"
"Low stock","Alacsony készlet"
"Most Viewed",Legnézettebb
"Show Report","Jelentés megjelenítése"
"Refresh Statistics","Statisztika frissítése"
"Customers Reviews",Vélemények
"Reviews for %1","Vélemények %1 -hez"
"Products Reviews","Termékek véleményei"
Review,Értékelés
Reviews,Vélemények
"Product Reviews","Termék vélemények"
Coupons,Kuponok
"Shipping Report","Szállítási jelentés"
"Select Date","Dátum kiválasztása"
"Search Terms",Keresőkifejezések
"By Products","Termékek szerint"
"Invalid item option format.","Érvénytelen opció formátum."
"Cannot specify product.","Nem meghatározható termék."
Exception,Kivétel
"Could not save","Nem sikerült menteni"
Copy,Másolás
"Save Review","Vélemény mentése"
"New Review","Új értékelés"
"Review Details","Értékelés részletei"
"Product Rating","Termék értékelése"
Nickname,Becenév
"Summary of Review","Értékelés összefoglalása"
"Save and Previous","Mentés és a korábbi"
"Save and Next","A Mentés és a következő"
"Delete Review","Vélemény törlése"
"Edit Review '%1'","'%1' értékelés szerkesztése"
Administrator,Adminisztrátor
Author,Szerző
"Summary Rating","Összefoglaló értékelés"
"Detailed Rating","Részletes értékelés"
"Update Status","Státusz frissítése"
"Pending Reviews of Customer `%1`","`%1` vevő folyamatban lévő véleménye"
"Pending Reviews","Folyamatban lévő vélemények"
"All Reviews of Customer `%1`","`%1` vevő összes értékelése"
"All Reviews of Product `%1`","`%1` termék összes értékelése"
"All Reviews","Összes vélemény"
"Product Store Name","Termék bolti neve"
"Manage Ratings","Értékelések kezelése"
"Add New Rating","Új értékelés hozzáadása"
"Save Rating","Értékelés mentése"
"Delete Rating","Értékelés törlése"
"Edit Rating #%1","#%1 értékelés szerkesztése"
"New Rating","Új Értékelés"
"Rating Title","Értékelés címe"
"Rating Visibility","Értékelés láthatósága"
"Is Active",Aktív
"Rating Information","Értékelési információ"
"Pending product review(s)","Függőben lévő termék értékelés(ek)"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Termék: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Értékelés összefoglalása: %1 <br/>"
"Review: %1 <br/>","Értékelés: %1 <br/>"
"Store: %1 <br/>","Bolt: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Kattintson <a href=""%1"">ide</a> az értékelés megtekintéséhez."
"Product: ""%1"" reviewed by: %2","Termék: ""%1"" értékelte: %2"
"Reviews %1","%1 vélemények"
"The review has been deleted.","Az értékelés törölve."
"Something went wrong  deleting this review.","Valami nem sikerült az értékelés törlése közben."
"Customer Reviews","Vevő vélemények"
"Edit Review","Értékelés szerkesztése"
"Please select review(s).","Kérjük, válassza ki az értékelést/értékeléseket."
"Something went wrong while deleting these records.","Valami nem sikerült a rekordok törlése közben."
"My Product Reviews","Termék véleményeim"
"You have submitted no reviews.","Ön még nem adott le véleményt."
"My Recent Reviews","Friss véleményeim"
"Back to My Reviews","Vissza a véleményeimhez"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Csak regisztrált felhasználók adhatnak le véleményt. Kérem <a href=""%1"">jelentkezzen be</a>, vagy <a href=""%2"">regisztráljon</a>"
"Review by",Termékértékelés
"Back to Product Reviews","Vissza a termék véleményekhez"
"Allow Guests to Write Reviews","Értékelés engedélyezése vendégek számára"
"Expired reward","Lejárt jutalom"
"No Data","Nincs adat"
"Update Points","Pontok frissítése"
First,Első
"Submit Comment","Hozzászólás beküldése"
"Custom Value","Egyéni érték"
"Print Shipping Label","Szállítási címke nyomtatása"
"Show Packages","Csomagok megjelenítése"
"Please specify a carrier.","Kérjük válasszon ki egy szállítót."
"Please enter a tracking number.","Kérem adjon meg egy nyomonkövetési számot."
"Products should be added to package(s)","A termékeket csomagokhoz kellene adni"
"Tracking Information","Nyomkövetési információk"
"No detail for number ""%1""","Nincs részlet a ""%1"" számra"
"Customer Name","Ügyfél neve"
"Comment Text","Megjegyzés szövege"
"Customer Service",Ügyfélszolgálat
"Customs Value","Vám érték"
"Qty Ordered","Rendelt mennyiség"
Carrier,Szállító
Number,Szám
"Create Shipping Label","Szállítási címke létrehozása"
Packages,Csomagok
Package,Csomag
Length,Hossz
"Total Weight",Összsúly
"Items in the Package","Cikkek a csomagban"
"Shipping and Tracking Information","Szállítási és nyomkövetési információk"
"Track this shipment","A szállítás nyomonkövetése"
"Show Details","Részletek megjelenítése"
"Create Packages","Csomagok létrehozása"
"Add Package","Csomag hozzáadása"
Feed,Hírcsatorna
"RSS Feeds","RSS hírcsatornák"
"Enable RSS","RSS engedélyezése"
"Please choose a valid discount amount.","Kérjük válasszon egy érvényes kedvezményt."
"End Date must follow Start Date.","A záró dátumnak a kezdő dátum után kell következnie."
"Please specify Customer Groups.","Kérem adjon meg egy vásárlói csoportot."
by,készítette
"Please choose an action to add.","Kérem válasszon egy műveletet a hozzáadáshoz."
"Perform following actions","Végezze el a következő műveleteket"
"does not contain","nem tartalmaz"
ALL,MIND
ANY,BÁRMELYIK
TRUE,IGAZ
FALSE,HAMIS
"If %1 of these conditions are %2:","Ha %1 ezek közül a feltételek közül %2:"
"Unknown condition operator","Ismeretlen feltétel operátor"
"There is no information about associated entity type ""%1"".","Nincs információ a hozzárendelt entitás típusról ""%1""."
"Credit Memos",Jóváírások
Invoices,Számlák
"Create New Order","Új rendelés létrehozása"
"Save Order Address","Rendelési cím mentése"
"Edit Order %1 %2 Address","Rendelés %1 %2 cím szerkesztése"
"Order Address Information","Rendelési cím információ"
"Please correct the parent block for this block.","Kérem javítsa a blokk szülő blokkját."
"Submit Order","Megrendelés elküldése"
"Are you sure you want to cancel this order?","Biztosan visszavonja a megrendelést?"
"Order Comment","Megjegyzés a megrendeléshez"
"Please select a customer","Kérem válasszon egy ügyfelet"
"Edit Order #%1","#%1 megrendelés szerkesztése"
"Create New Order for %1 in %2","Új rendelés létrehozása %1 számára %2-ben"
"Create New Order in %1","Új rendelés létrehozása %1-ben"
"Create New Order for %1","Hozzon létre új rendelést %1 számára"
"Create New Order for New Customer","Új rendelés létrehozása új felhasználó számára"
"Items Ordered","Megrendelt cikkek"
"This product is disabled.","Ez a terméket le van tiltva."
"Buy %1 for price %2","Vegyen %1-t %2 áron"
"Item ordered qty","Cikkből rendelt mennyiség"
"%1 with %2 discount each","%1 %2 kedvezménnyel mindegyikre"
"%1 for %2","%1 %2-hez"
"* - Enter custom price including tax","* - Adjon meg egyedi árat adóval együtt"
"* - Enter custom price excluding tax","* - Adjon meg egyedi árat adó nélkül"
"This product does not have any configurable options","Ez a termék nem rendelkezik konfigurálható beállításokkal"
"Please select products","Kérem válasszon termékeket"
"Add Selected Product(s) to Order","Adja hozzá a kiválasztott termék(ek)et a rendeléshez"
"Update Changes","Változások frissítése"
"Are you sure you want to delete all items from shopping cart?","Biztosan törli az összes elemet a kosárból?"
"Products in Comparison List","Termékek az összehasonlító listában"
"Last Ordered Items","Utoljára rendelt elemek"
"Please select a store","Kérem válasszon ki egy boltot"
"Order Totals","Rendelés összesen"
"Shipping Incl. Tax (%1)","Szállítás ÁFA-val (%1)"
"Shipping Excl. Tax (%1)","Szállítás ÁFA-nélkül (%1)"
"Refund Shipping (Incl. Tax)","Szállítás visszatérítés (adóval)"
"Refund Shipping (Excl. Tax)","Szállítás visszatérítés (adó nélkül)"
"Refund Shipping","Szállítás visszatérítés"
Refund,Visszatérítés
"Shipping Refund","Szállítási visszatérítés"
"Send Email","E-mail küldése"
"Credit Memo",Jóváírás
"Are you sure you want to accept this payment?","Biztosan elfogadja a kifizetést?"
"Accept Payment","Kifizetés elfogadása"
"Are you sure you want to deny this payment?","Biztosan elutasítja ezt a kifizetést?"
"Deny Payment","Kifizetés elutasítása"
"Get Payment Update","Kifizetési állapot frissítése"
Ship,Szállítás
"Order # %1 %2 | %3","Rendelés # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Ez a rendelés (%1) elemet tartalmaz, ezért nem lehet szerkeszteni az admin felületről. Ha szeretné folytatni a szerkesztést, a (%2) elemek törölve lesznek, a rendelés vissza lesz vonva és egy új rendelés kerül elküldésre."
"Are you sure? This order will be canceled and a new one will be created instead.","Biztos benne? A rendelés törlésre kerül és egy új rendelés kerül elküldésre."
"Save Gift Message","Ajándék üzenet mentése"
"Shipment #%1 created","Szállítás #%1 létrehozva"
"Shipment #%1 comment added","Szállítás #%1 megjegyzés hozzáadva"
"Comments History","Megjegyzések előzményei"
"Order History","Korábbi rendelések"
"Order Information","Rendelés adatai"
Shipments,Szállítmányok
"Order Shipments","Rendelés szállítmányok"
Transactions,Tranzakciók
"Order View","Rendelési nézet"
"Applies to Any of the Specified Order Statuses except canceled orders","Mindegyik megadott Rendelési státuszra vonatkozik, kivétel a visszavont rendelésekre"
"Show Actual Values","Tényleges értékek megjelenítése"
"Discount (%1)","Kedvezmény (%1)"
"Transaction # %1 | %2","Tranzakció # %1 | %2"
Value,Érték
"We found an invalid entity model.","Egy érvénytelen entitás modellt találtunk."
"Back to My Orders","Vissza a rendelésekhez"
"View Another Order","Másik rendelés megtekintése"
"About Your Refund","A visszatérítéséről"
"Subscribe to Order Status","Feliratkozás a Rendelési Állapotra"
"Cannot add new comment.","Nem adhat hozzá új megjegyzést."
"The order no longer exists.","A rendelés nem létezik többé."
"Cannot update item quantity.","Nem lehet frissíteni a cikkmennyiséget."
"%1 order(s) cannot be canceled.","%1 rendelést nem lehet visszavonni."
"You cannot cancel the order(s).","Nem lehet visszavonni a rendelést/rendeléseket."
"We canceled %1 order(s).","Visszavontunk %1 rendelést."
"There are no printable documents related to selected orders.","Nincsenek nyomtatható dokumentumok a kiválasztott rendelésekhez kapcsolódóan."
"The payment has been accepted.","A kifizetés elfogadva."
"The payment has been denied.","A kifizetés elutasítva."
"Transaction has been approved.","Tranzakció jóváhagyva."
"Transaction has been voided/declined.","Tranzakció érvénytelenítve/elutasítva."
"There is no update for the transaction.","Nincs frissítés a tranzakcióhoz."
"You assigned the order status.","Megadta a rendelés státuszát."
"Something went wrong while assigning the order status.","Valami nem sikerült a rendelés státuszának megadása közben."
"Create New Order Status","Új rendelési állapot létrehozása"
"We found another order status with the same order status code.","Találtunk egy másik rendelési állapotot ugyanezzel a rendelési állapot kóddal."
"You saved the order status.","Elmentette a rendelési állapotot."
"You have unassigned the order status.","Megszüntette a rendelési állapot hozzárendelést."
"Orders and Returns","Rendelések és visszaküldések"
"Shipping Address: ","Szállítási cím: "
"Please enter the street.","Kérjük, adja meg az utcát."
"Please enter the city.","Kérjük, adja meg a várost."
"Please enter the phone number.","Kérjük, adja meg a telefonszámot."
"Please enter the zip/postal code.","Kérjük, adja meg az irányítószámot."
"Please enter the country.","Kérjük, adja meg az országot."
"Total Shipping Charges","Teljes szállítási költség"
"""Shipment Document Validation Error(s):\n"" .","""Szállítási dokumentum érvényesítési hiba:\n"" ."
"Email has not been sent","Az email nem lett elküldve"
"No Payment Methods","Nincsenek fizetési módok"
"Append Comments","Megjegyzések hozzáfűzése"
"Grand Total Excl. Tax","Végösszeg adó nélkül"
"Grand Total Incl. Tax","Végösszeg adóval"
"Payment &amp; Shipping Method","Fizetési &amp; szállítási mód"
"The order was placed using %1.","A rendelés %1 használatával lett elküldve."
"Print Order","Rendelés nyomtatása"
"Recent Orders","Az előző megrendelések"
"Credit memo for your %store_name order","Jóváírás a %store_name megrendeléshez"
"Thank you for your order from %store_name.","Köszönjük a %store_name webáruházban leadott megrendelést."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","A rendelés állapotát ellenőrizheted, ha <a href=""%account_url"">bejelentkezel a felhasználói fiókodba</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Az ön jóváírása #%creditmemo_id a(z) #%order_id számú megrendeléshez"
"Billing Info","Számlázási információk"
"Update to your %store_name credit memo","Frissítés a %store_name jóváíráshoz"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","A(z) #%increment_id számú megrendelés státusza frissült: <strong>%order_status</strong>."
"Invoice for your %store_name order","A(z) %store_name rendelés számlája"
"Your Invoice #%invoice_id for Order #%order_id","A(z) #%order_id számú rendelés #%invoice_id azonosítójú számlája"
"Update to your %store_name invoice","Az Ön %store_name számla frissítése"
"Your %store_name order confirmation","Az Ön %store_name rendelés-visszaigazolása"
"Once your package ships we will send you a tracking number.","Ha a csomag szállításra kész, elküldjük a nyomkövetési kódot."
"Your Order <span class=""no-link"">#%increment_id</span>","A z Ön rendelése <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Rendelés ideje: <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","%store_name megrendeléssel kapcsolatos válzozások"
"Your %store_name order has shipped","A %store_name megrendelése szállításra került"
"Your shipping confirmation is below. Thank you again for your business.","A szállítási információ megerősítve. Köszönjük rendelését."
"Your Shipment #%shipment_id for Order #%order_id","A #%order_id megrendelés #%shipment_id azonosítójú szállítása"
"Update to your %store_name shipment","Változás a %store_name megrendeléssel kapcsolatban"
"Shipment Comments","Szállítmány megjegyzések"
"Orders and Returns Search Form","Rendelések és visszaküldések keresési űrlap"
"Print Shipping Labels","Szállítási címkék nyomtatása"
"Purchase Date","Megrendelés dátuma"
"Shipping and Handling","Szállítás és kezelés"
"Move to Archive","Áthelyezés az archívumba"
Labels,Címkék
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Ebben az időintervallumban már van előre tervezett frissítés. Válasszon másik időintervallumot."
"Fatal Error","Végzetes hiba"
"Use Deferred Stock Update","Halasztott raktárkészlet frissítés használata"
"Server Type","Szerver típusa"
"Passive Mode","Passzív mód"
"File Name",Fájlnév
"Clean Now","Tisztítás indítása"
"Scheduled Import","Ütemezett Import"
"Search Term",Keresőkifejezés
"Search Synonyms","Szinonimák keresése"
"New Synonym Group","Új szinonima csoport"
"Delete Synonym Group","Szinonima csoport törlése"
"Are you sure you want to delete this synonym group?","Biztosan törli a szinonima csoportot?"
"Save Synonym Group","Szinonima csoport mentése"
"Save Search","Keresés mentése"
"Delete Search","Keresés törlése"
"Edit Search '%1'","'%1' keresés szerkesztése"
"New Search","Új keresés"
"Search Information","Keresési információ"
"Number of results","Találatok száma"
"Number of Uses","Használatok száma"
"ex. http://domain.com","pl. http://domain.com"
"Display in Suggested Terms","Megjelenítés a Javasolt kifejezések között"
"The synonym group has been deleted.","A szinonima csoport törölve lett."
"An error was encountered while performing delete operation.","Hiba történt egy törlési művelet közben."
"We can't find a synonym group to delete.","A törlendő szinonima csoport nem található."
"This synonyms group no longer exists.","Ez a szinonima csoport már nem létezik."
"Edit Synonym Group","Szinonima csoport szerkesztése"
"Synonym Group","Szinonima csoport"
"Failed to delete %1 synonym group(s).","Nem sikerült törölni a szinonima csoportokat (%1)."
"A total of %1 synonym group(s) have been deleted.","Összesen %1 szinonima csoport törölve lett."
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","A keresési szinonimák nem támogatottak a %1 keresőmotor által. Egyetlen megadott szinonima sem lesz használva."
"This synonym group no longer exists.","Ez a szinonima csoport már nem létezik."
"You saved the synonym group.","Elmentette a szinonima csoportot."
"You deleted the search.","Törölte a keresést."
"This search no longer exists.","Ez a keresés többé nem létezik."
"Edit Search","Keresés szerkesztése"
"Please select searches.","Kérem válassza ki a kereséseket."
"Search Terms Report","Keresési kifejezések jelentése"
"You saved the search term.","Elmentette a keresési kifejezést."
"Something went wrong while saving the search query.","Valami nem sikerült a kereső lekérdezés mentése közben."
"You already have an identical search term query.","Már van egy azonos kereső kifejezés lekérdezés."
"    All Store Views","    Minden Boltnézet"
"Search entire store here...",Keresés...
"There are no search terms available.","Nincs elérhető keresési kifejezés."
"Search Engine",Keresőmotor
Hits,Találatok
"Suggested Terms","Javasolt kifejezések"
Synonyms,Szinonimák
"Are you sure you want to delete the selected synonym groups?","Biztosan törli a kijelölt szinonima csoportokat?"
"Account Activity","Fiók tevékenység"
"All other open sessions for this account were terminated.","Minden más nyitott kapcsolat ezzel a fiókkal meg lett szüntetve."
"We couldn't logout because of an error.","Nem sikerül kijelentkezni egy hiba miatt."
"Someone logged into this account from another device or browser. Your current session is terminated.","Valaki bejelentkezett a fiókba egy másik eszközről vagy böngészőből. Az aktuális kapcsolat megszűnik."
"Your current session is terminated by another user of this account.","Az aktuális kapcsolat megszakítva a fiók egy másik felhasználója által."
"Your current session has been expired.","Aktuális munkamenete lejárt."
"By IP and Email","IP és Email alapján"
"By IP","IP alapján"
"By Email","Email alapján"
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Helytelen biztonsági ellenőrző osztály. Implementálnia kell a SecurityCheckerInterface-t"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Ez az adminisztrátor fiók több helyen is nyitva van. Vegye figyelembe, hogy más helynek számíthat, ha különböző böngésző vagy munkamenet használja a fiókot ugyanazon a számítógépen."
"Are you sure that you want to log out all other sessions?","Biztos benne, hogy minden más munkamenetet ki akar jelentkeztetni?"
"Log out all other sessions","Minden más munkamenet kijelentkeztetése"
"This computer is using IP address %1.","Ez a számítógép a %1 IP címet használja."
"Admin Account Sharing","Admin fiók megosztása"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Ha Igazra van állítva, bejelentkezhet több számítógépről is ugyanabba a fiókba. Alapértelmezetten Nem, a biztonságot növeli."
"Password Reset Protection Type","Jelszó-visszaállítás védelem típusa"
"Max Number of Password Reset Requests","Jelszó-visszaállítási kérelmek max száma"
"Limit the number of password reset request per hour. Use 0 to disable.","Jelszó-visszaállítási kérelmek számának óránkénti limitálása. Használjon 0-t a kikapcsoláshoz."
"Min Time Between Password Reset Requests","Min idő Jelszó-visszaállítási kérelmek között"
"Delay in minutes between password reset requests. Use 0 to disable.","Késedelem percben jelszó-visszaállítási kérelmek között. Használjon 0-t a kikapcsoláshoz."
"The link to a friend was sent.","A link elküldve egy barátnak."
"We found some problems with the data.","Probléma adódott az adatokkal."
"Some emails were not sent.","Néhány email nem lett elküldve."
"Please enter a sender name.","Kérem adja meg a küldő nevét."
"Invalid Sender Email","Érvénytelen feladó email"
"Please enter a message.","Írjon be egy üzenetet."
"Please specify at least one recipient.","Kérem adjon meg legalább egy címzettet."
"Please enter a correct recipient email address.","Kérem megfelelő címzett email címet adjon meg."
"No more than %1 emails can be sent at a time.","Maximum %1 email küldhető egyszerre."
"Please define a correct product instance.","Kérjük, adjon meg helyes Termék példányt."
"Invalid Sender Information","Érvénytelen küldő információ"
"Please define the correct sender information.","Kérjük, adja meg a feladó helyes adatait."
"Cookie (unsafe)","Süti (nem biztonságos)"
"Remove Recipent","Címzett eltávolítása"
"Welcome, %name","Üdvözlet %name"
"%sender_name wants to share this product with you:","%sender_name szeretné megosztani Önnel ezt a terméket:"
"Select Email Template","Válasszon email sablont"
"Allow for Guests","Engedélyezés vendégeknek"
"Max Recipients","Max címzettek száma"
"Max Products Sent in 1 Hour","Max küldhető termékek 1 órán belül"
"Limit Sending By","Küldő limit"
Assign,Hozzárendelés
of,-ból
Assigned,Hozzárendelve
"New Shipment for Order #%1","Új szállítmány a #%1 számú rendeléshez"
"Submit Shipment","Szállítmány küldése"
"The value that you entered is not valid.","A megadott érték nem érvényes."
"Add Tracking Number","Nyomkövetési szám hozzáadása"
"Send Tracking Information","Nyomkövetési információk küldése"
"Are you sure you want to send a Shipment email to customer?","Biztosan el akar küldeni egy Szállítás emailt az ügyfélnek?"
"the shipment email was sent","a szállítás email elküldve"
"the shipment email is not sent","a szállítás email nincs elküldve"
"Shipment #%1 | %3 (%2)","Szállítmány #%1 | %3 (%2)"
"Create Shipping Label...","Szállítási címke létrehozása..."
"Delivered on:",Kiszállítva:
"About Your Shipment","Az Ön szállítmányáról"
"Cannot add tracking number.","Nem lehet hozzáadni a nyomonkövetési számot."
"You created the shipping label.","Létrehozta a szállítási címkét."
"An error occurred while creating shipping label.","Hiba történt a szállítási címke létrehozása közben."
"You sent the shipment.","Ön elküldte a szállítmányt."
"Cannot send shipment information.","Nem lehetett elküldeni a szállítási információt."
"There are no shipping labels related to selected orders.","Nem tartozik szállítási címke a kijelölt rendelésekhez."
"New Shipment","Új Szállítmány"
"The shipment has been created.","A szállítmány létrejött."
"Cannot save shipment.","Nem lehet menteni a szállítmányt."
"Cannot do shipment for the order separately from invoice.","Nem lehet szállítani a rendelést a számla nélkül."
"Cannot do shipment for the order.","Nem lehet szállítani a rendelést."
"There are no shipping labels related to selected shipments.","Nincsenek szállítási címkék a kijelölt szállítmányokhoz."
"The shipping module is not available.","A szállítás modul nem érhető el."
"This shipping method is not available. Please specify the zip code.","Ez a szállítási módszer nem áll rendelkezésre. Kérem adja meg az irányítószámot."
Development,Fejlesztés
Live,Élő
"Divide to equal weight (one request)","Egyenlő súlyokra osztás (egy kérelem)"
"Use origin weight (few requests)","Használjon összsúlyt (néhány kérelem)"
"Signature Confirmation","Aláírás megerősítése"
Contents,Tartalom
Girth,Vastagság
"Shipping labels is not available.","Nem érhetőek el a szállítási címkék."
"Response info is not exist.","Válasz információ nem érhető el."
"Per Package",Csomagonként
"Tracking information is unavailable.","Nem érhető el nyomonkövetési információ."
"Items to Ship","Szállítandó elemek"
"Qty to Ship","Szállítandó mennyiség"
"Shipment Total","Szállítmány összesen"
"Shipment Options","Szállítmány opciók"
"Email Copy of Shipment","Szállítmány másolatának küldése emailben"
"Invalid value(s) for Qty to Ship","Érvénytelen érték a szállítandó mennyiségnél"
"Add Selected Product(s) to Package","Kiválasztott termék(ek) hozzáadása a csomaghoz"
"Add Products to Package","Termékek hozzáadása a csomaghoz"
in,ebben
"Delete Package","Csomag törlése"
Explanation,Magyarázat
"Shipping &amp; Handling Information","Szállítási &amp; kezelési információk"
"Track Order",Nyomonkövetés
"Items Shipped","Szállított cikkek"
"Shipment History","Szállítási előzmények"
"Print All Shipments","Összes szállítás nyomtatása"
"Shipment #","Szállítmány #"
"Print Shipment","Szállítmány nyomtatása"
"Tracking Number(s):","Nyomkövetési szám(ok):"
"Order tracking",Rendeléskövetés
"Tracking Number:","Nyomkövetési szám:"
Carrier:,Szállító:
"Tracking information is currently not available. Please ","Nyomonkövetési információ jelenleg nem érhető el. Kérem "
"contact us","lépjen kapcsolatba velünk"
" for more information or "," további információért vagy "
"email us at ","íron nekünk itt "
Track:,Követés:
". ':'",.':'
"There is no tracking available for this shipment.","Nincs nyomonkövetés ehhez a szállítmányhoz."
"There is no tracking available.","Nem áll rendelkezésre nyomonkövetés."
"Track history","Nyomonkövetési előzmények"
"Local Time","Helyi idő"
"See our Shipping Policy","Tekintse meg Szállítási Feltételeinket"
"Shipping Settings Section","Szállítási beállítások szakasz"
"Shipping Policy Parameters Section","Szállítási feltételek paraméterei szakasz"
"Shipping Methods Section","Szállítás módok szakasz"
"Shipping Settings","Szállítási beállítások"
Origin,Származás
"Shipping Policy Parameters","Szállítási feltételek paraméterei"
"Apply custom Shipping Policy","Egyéni szállítás feltételek alkalmazása"
"Shipping Policy","Szállítási feltételek"
"Track your order","Kövesse nyomon rendelését"
"Save & Generate","Mentés & generálás"
"Edit Sitemap","Oldaltérkép szerkesztése"
"New Sitemap","Új oldaltérkép"
Sitemap,Oldaltérkép
Filename,Fájlnév
"example: sitemap.xml","például: sitemap.xml"
"Site Map",Oldaltérkép
Yearly,Éves
"We were unable to perform the search because of a search engine misconfiguration.","A keresőmotor hibás beállítása miatt a keresés nem hajtható végre!"
"Solr Server Hostname","Solr szerver hosztneve"
"Solr Server Port","Solr szerver port"
"Solr Server Username","Solr szerver felhasználói név"
"Solr Server Password","Solr szerver jelszó"
"Solr Server Timeout","Solr szerver időtúllépés"
"Solr Server Path","Solr szerver elérési út"
"Indexation Mode","Indexelés módja"
"Date & Time","Dátum & idő"
"Current store is not active.","Az aktuális bolt nem aktív."
"Requested store is inactive","A kért bolt inaktív"
"Name is required","Név megadása kötelező"
"Store is inactive","A bolt inaktív"
"Invalid store parameter.","Érvénytelen webáruház paraméter."
"Default store is inactive","Alapértelmezett webáruház inaktív"
"Your Language:","Az ön nyelve:"
"Your Language","Az ön nyelve"
Language,Nyelv
"Select Store","Webáruház kiválasztása"
Layouts,Elrendezések
"Backup Log Details","Naplófájlok részleteinek biztonsági mentése"
"Requested system report has no data to output.","A kért rendszer jelentés nem rendelkezik kimeneti adatokkal."
"Are you sure you want to delete the system report?","Biztosan törli a rendszerjelentést?"
"Go to Top",Tetejére
"System Report Information","Rendszerinformáció jelentés"
"Requested system report has no data to display.","A kért rendszerjelentés nem tud adatokat megjeleníteni."
"Unknown DB param: %1","Ismeretlen adatbázis paraméter: %1"
Support,Támogatás
"Data Collector",Adatgyűjtő
"The backup has been saved.","A biztonsági mentés megtörtént."
"An error occurred while saving backup","Hiba történt a biztonsági mentés közben"
(now),(most)
"[%1 months ago]","[%1 hónapja]"
"[%1 years ago]","[%1 éve]"
"Error message!",Hibaüzenet!
"Show Log","Napló mutatása"
more,több
"Show Related Products","Kapcsolódó termékek megjelenítése"
"Show Cross-Sell Products","Kereszt-értékesített termékek megjelenítése"
"Tax Rate Information","ÁFA érték információ"
"Tax Identifier",Adóazonosító
"Zip/Post is Range","Irányítószám tartomány"
"Zip/Post Code",Irányítószám
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","""*""-minden kifejezéssel egyezik; ""xyz *"" - egyezik minden olyan kifejezéssel ami 'xyz'-vel kezdődik, és nem hosszabb, mint %1."
"Range From","Tartomány alsó értéke"
"Range To","Tartomány felső értéke"
State,Megye
"Rate Percent","Százalékos érték"
"Tax Titles","Adó címek"
"Add New Tax Rate","Új adókulcs hozzáadása"
"Delete Rate","Érték törlése"
"Save Rate","Érték mentése"
"Manage Tax Rules","Adószabályok kezelése"
"Add New Tax Rule","Új adószabály hozzáadása"
"Save Rule","Szabály mentése"
"Tax Rule Information","ÁFA érték információ"
"Customer Tax Class","Vevő adó-osztály"
"Product Tax Class","Termék adó-osztály"
"Tax Rate",Adókulcs
"Tax rates at the same priority are added, others are compounded.","Az azonos prioritású adókulcsokat hozzáaduk, az egyéb kulcsokat kombináljuk."
"Calculate Off Subtotal Only","Csak a részösszeg kiszámítása"
"Do you really want to delete this tax class?","Biztosan törli az adó-osztályt?"
"Add New Tax Class","Új adó-osztály hozzáadása"
"Subtotal (Excl.Tax)","Részösszeg (ÁFA nélkül)"
"Subtotal (Incl.Tax)","Részösszeg (adóval)"
"Shipping & Handling (Excl.Tax)","Szállítás & kezelés (ÁFA nélkül)"
"Shipping & Handling (Incl.Tax)","Szállítás & kezelés (ÁFA-val)"
"Grand Total (Excl.Tax)","Végösszeg (adó nélkül)"
"Grand Total (Incl.Tax)","Végösszeg (ÁFA-val)"
"Manage Tax Rates","Adókulcsok kezelése"
"New Tax Rate","Új adókulcs"
"Tax Zones and Rates","ÁFA zónák és értékek"
